title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,station_verified,station_verification_reason,baseline_prediction_c,corrected_prediction_c,corrected_prediction_f,corrected_prediction_resolution_unit,corrected_prediction_resolution_value,model_name,created_at
Highest temperature in London on May 10?,highest-temperature-in-london-on-may-10-2026,London,London City,2026-05-10,max,celsius,EGLC,https://www.wunderground.com/history/daily/gb/london/EGLC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,51.505,0.055,10.0,GB,7897,3181,1,open_meteo,13.2,8.7,11.6,4.5,24,,,,,,,1,station verified,13.2,13.01071308857138,55.419283559428486,celsius,13.01071308857138,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Hong Kong on May 10?,highest-temperature-in-hong-kong-on-may-10-2026,Hong Kong,Hong Kong Observatory,2026-05-10,max,celsius,HKO,https://www.weather.gov.hk/en/cis/climat.htm,weather.gov.hk,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,22.301944,114.174167,32.0,HK,8459,9590,1,open_meteo,24.9,21.5,23.1,3.3999999999999986,24,,,,,,,1,station verified,24.9,24.917631528643415,76.85173675155815,celsius,24.917631528643415,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Shanghai on May 10?,highest-temperature-in-shanghai-on-may-10-2026,Shanghai,Shanghai Pudong International,2026-05-10,max,celsius,ZSPD,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shanghai/ZSPD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,31.146,121.8,4.0,CN,4838,3181,1,open_meteo,23.4,14.1,18.7,9.3,24,,,,,,,1,station verified,23.4,23.39052860884123,74.10295149591421,celsius,23.39052860884123,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Beijing on May 10?,highest-temperature-in-beijing-on-may-10-2026,Beijing,Beijing Capital International,2026-05-10,max,celsius,ZBAA,https://www.wunderground.com/history/daily/cn/beijing/ZBAA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Beijing Capital International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Beijing Capital International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/beijing/ZBAA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,40.082,116.603,31.0,CN,2399,3181,1,open_meteo,32.5,11.6,22.2,20.9,24,,,,,,,1,station verified,32.5,32.41898217973115,90.35416792351607,celsius,32.41898217973115,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Madrid on May 10?,highest-temperature-in-madrid-on-may-10-2026,Madrid,Adolfo Suárez Madrid-Barajas,2026-05-10,max,celsius,LEMD,https://www.wunderground.com/history/daily/es/madrid/LEMD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Adolfo Suárez Madrid-Barajas Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Adolfo Suárez Madrid-Barajas Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/es/madrid/LEMD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,40.466,-3.555,589.0,ES,827,3181,1,open_meteo,14.5,11.0,12.7,3.5,24,,,,,,,1,station verified,14.5,15.037556291382192,59.067601324487946,celsius,15.037556291382192,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in NYC on May 10?,highest-temperature-in-nyc-on-may-10-2026,NYC,LaGuardia,2026-05-10,max,fahrenheit,KLGA,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,40.77945,-73.88027,9.0,US,5879,3181,1,open_meteo,24.0,11.1,15.6,12.9,24,,,,,,,1,station verified,24.0,22.938711573182427,73.28968083172836,fahrenheit,73.28968083172836,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Hong Kong on May 9?,highest-temperature-in-hong-kong-on-may-9-2026,Hong Kong,Hong Kong Observatory,2026-05-09,max,celsius,HKO,https://www.weather.gov.hk/en/cis/climat.htm,weather.gov.hk,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",129,0.7998392447397195,-0.6002142805483681,5,1,1,22.301944,114.174167,32.0,HK,8459,9590,1,open_meteo,24.0,22.0,22.7,2.0,24,,,,,,,1,station verified,24.0,24.02788976084485,75.25020156952073,celsius,24.02788976084485,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Shanghai on May 11?,highest-temperature-in-shanghai-on-may-11-2026,Shanghai,Shanghai Pudong International,2026-05-11,max,celsius,ZSPD,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shanghai/ZSPD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,31.146,121.8,4.0,CN,4838,3181,1,open_meteo,27.2,17.5,21.6,9.7,24,,,,,,,1,station verified,27.2,27.18322787498095,80.92981017496571,celsius,27.18322787498095,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Paris on May 10?,highest-temperature-in-paris-on-may-10-2026,Paris,Paris-Le Bourget,2026-05-10,max,celsius,LFPB,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,48.967,2.428,50.0,FR,8545,3181,1,open_meteo,18.1,12.7,14.8,5.400000000000002,24,,,,,,,1,station verified,18.1,17.633617956885068,63.74051232239312,celsius,17.633617956885068,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Qingdao on May 10?,highest-temperature-in-qingdao-on-may-10-2026,Qingdao,Qingdao Jiaodong International,2026-05-10,max,celsius,ZSQD,https://www.wunderground.com/history/daily/cn/qingdao/ZSQD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Qingdao Jiaodong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Qingdao Jiaodong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/qingdao/ZSQD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,36.362,120.087,2.0,CN,5599,3181,1,open_meteo,26.8,15.1,20.0,11.7,24,,,,,,,1,station verified,26.8,26.75047365935691,80.15085258684243,celsius,26.75047365935691,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Shenzhen on May 10?,highest-temperature-in-shenzhen-on-may-10-2026,Shenzhen,Shenzhen Bao'an International,2026-05-10,max,celsius,ZGSZ,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shenzhen Bao'an International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shenzhen Bao'an International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,22.639,113.803,18.0,CN,7833,3181,1,open_meteo,27.4,22.0,24.3,5.399999999999999,24,,,,,,,1,station verified,27.4,27.413623387047053,81.3445220966847,celsius,27.413623387047053,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Chongqing on May 10?,highest-temperature-in-chongqing-on-may-10-2026,Chongqing,Chongqing Jiangbei International,2026-05-10,max,celsius,ZUCK,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chongqing/ZUCK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,29.718,106.639,416.0,CN,9929,3181,1,open_meteo,24.8,15.1,20.0,9.7,24,,,,,,,1,station verified,24.8,24.791042275389195,76.62387609570055,celsius,24.791042275389195,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Chengdu on May 10?,highest-temperature-in-chengdu-on-may-10-2026,Chengdu,Chengdu Shuangliu International,2026-05-10,max,celsius,ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chengdu/ZUUU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,30.576,103.95,494.0,CN,1001,3181,1,open_meteo,30.7,18.9,24.5,11.8,24,,,,,,,1,station verified,30.7,30.691901359840926,87.24542244771366,celsius,30.691901359840926,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
Highest temperature in Sao Paulo on May 10?,highest-temperature-in-sao-paulo-on-may-10-2026,Sao Paulo,Sao Paulo-Guarulhos International,2026-05-10,max,celsius,SBGR,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Sao Paulo-Guarulhos International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Sao Paulo-Guarulhos International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/br/guarulhos/SBGR.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-23.432,-46.469,745.0,BR,251,3181,1,open_meteo,18.5,13.7,15.7,4.800000000000001,24,,,,,,,1,station verified,18.5,18.58886263966408,65.45995275139535,celsius,18.58886263966408,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T21:32:11+00:00
