event_id,event_slug,event_title,event_volume,market_id,condition_id,market_slug,question,group_item_title,outcomes,outcome_prices,clob_token_ids,yes_price,no_price,yes_token_id,no_token_id,best_bid,best_ask,spread,market_volume,liquidity,neg_risk,active,closed,accepting_orders,end_date,matched_prediction_slug,prediction_c,prediction_model,interval_lower,interval_upper,interval_unit,fair_yes_probability,fair_no_probability,yes_buy_price,no_buy_price,yes_fee_per_share,no_fee_per_share,yes_net_edge,no_net_edge,strategy_version,model_sigma_c,visible_bucket_count,visible_bucket_rank,visible_top_bucket,visible_top_bucket_probability,is_visible_top_bucket,is_near_visible_top_bucket,decision_reason,risk_flags,paper_side,paper_price,paper_fair_probability,paper_net_edge,paper_decision_score,suggested_max_stake_usdc,market_has_ended,reason,station_verified,station_verification_reason
460648,highest-temperature-in-london-on-may-10-2026,Highest temperature in London on May 10?,369069.584706,2186585,0x3baa2f10a0098b368aad69ac6d359f933237386ba38f28ad901e1089a568a4cd,highest-temperature-in-london-on-may-10-2026-13c,Will the highest temperature in London be 13°C on May 10?,13°C,"[""Yes"", ""No""]","[0.996, 0.004]","[""35301036910131416585011880189139392774408342128253537504569033046108824690989"", ""64956869605725906945492391599960621473636562778445105531876652200653825089890""]",0.996,0.004,35301036910131416585011880189139392774408342128253537504569033046108824690989,64956869605725906945492391599960621473636562778445105531876652200653825089890,0.995,0.997,0.002,53932.856878,5144.74016,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-london-on-may-10-2026,13.01071308857138,sklearn_hist_gradient_boosting_bias_corrector,12.5,13.5,celsius,0.158518,0.841482,0.997,0.005,0.00015,0.000249,-0.838632,0.836233,betting_v2_conservative,2.5,5,1,13°C,0.158518,1,1,market already ended,model top bucket; ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460648,highest-temperature-in-london-on-may-10-2026,Highest temperature in London on May 10?,369069.584706,2186586,0x886a4849b303fcbfac2b07a99856db874bdade8526fecf2a6efb84e8765814fd,highest-temperature-in-london-on-may-10-2026-14c,Will the highest temperature in London be 14°C on May 10?,14°C,"[""Yes"", ""No""]","[0.003, 0.997]","[""6932331991988567219968067144983521568801660828685728998436915354903343873227"", ""90116988773438044457559872180101930571751119722013008877968771198765893979501""]",0.003,0.997,6932331991988567219968067144983521568801660828685728998436915354903343873227,90116988773438044457559872180101930571751119722013008877968771198765893979501,0.001,0.005,0.004,40733.97778000005,3031.00349,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-london-on-may-10-2026,13.01071308857138,sklearn_hist_gradient_boosting_bias_corrector,13.5,14.5,celsius,0.146734,0.853266,0.005,0.999,0.000249,5e-05,0.141485,-0.145784,betting_v2_conservative,2.5,5,2,13°C,0.158518,0,1,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460648,highest-temperature-in-london-on-may-10-2026,Highest temperature in London on May 10?,369069.584706,2186592,0xa40712cb87fc69d87fb95c6fcaacab017c9e916d722413d0ac229023d18cc4de,highest-temperature-in-london-on-may-10-2026-20corhigher,Will the highest temperature in London be 20°C or higher on May 10?,20°C or higher,"[""Yes"", ""No""]","[0.0015, 0.9985]","[""76790882612636830929434363062865423081723291189004876649659583258742842813819"", ""47838195026508263838836121568406334727253517034759607558896676828719778762071""]",0.0015,0.9985,76790882612636830929434363062865423081723291189004876649659583258742842813819,47838195026508263838836121568406334727253517034759607558896676828719778762071,,0.003,0.003,9480.654760000005,5423.54216,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-london-on-may-10-2026,13.01071308857138,sklearn_hist_gradient_boosting_bias_corrector,19.5,,celsius,0.00472,0.99528,0.003,0.9985,0.00015,7.5e-05,0.00157,-0.003295,betting_v2_conservative,2.5,5,5,13°C,0.158518,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460648,highest-temperature-in-london-on-may-10-2026,Highest temperature in London on May 10?,369069.584706,2186587,0x1217be75372dac39f0decddaaab43d4ef695b40be4b33c94130a76079b6f7964,highest-temperature-in-london-on-may-10-2026-15c,Will the highest temperature in London be 15°C on May 10?,15°C,"[""Yes"", ""No""]","[0.001, 0.999]","[""93058271340459832022516325563308427244221099858468991970850549670085527371244"", ""102345956575004218982104997409055913028853901683467429651875016325768959232713""]",0.001,0.999,93058271340459832022516325563308427244221099858468991970850549670085527371244,102345956575004218982104997409055913028853901683467429651875016325768959232713,,0.002,0.002,29906.453614999995,3141.5659,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-london-on-may-10-2026,13.01071308857138,sklearn_hist_gradient_boosting_bias_corrector,14.5,15.5,celsius,0.115989,0.884011,0.002,0.999,0.0001,5e-05,0.113889,-0.115038,betting_v2_conservative,2.5,5,3,13°C,0.158518,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460648,highest-temperature-in-london-on-may-10-2026,Highest temperature in London on May 10?,369069.584706,2186588,0x4b1be62efc186b28e27a8417c96b3e8dcea4880659fb8b78c9c94e76285efe97,highest-temperature-in-london-on-may-10-2026-16c,Will the highest temperature in London be 16°C on May 10?,16°C,"[""Yes"", ""No""]","[0.001, 0.999]","[""27116535150720613557692249828428896597491990607050580595147268381578966586107"", ""15015180106402519258629987504817228532981999389158922878820395301094891975084""]",0.001,0.999,27116535150720613557692249828428896597491990607050580595147268381578966586107,15015180106402519258629987504817228532981999389158922878820395301094891975084,,0.002,0.002,17682.470776999984,2860.98276,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-london-on-may-10-2026,13.01071308857138,sklearn_hist_gradient_boosting_bias_corrector,15.5,16.5,celsius,0.078294,0.921706,0.002,0.999,0.0001,5e-05,0.076194,-0.077344,betting_v2_conservative,2.5,5,4,13°C,0.158518,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460666,highest-temperature-in-hong-kong-on-may-10-2026,Highest temperature in Hong Kong on May 10?,321174.78055699985,2186787,0x9b3c2e02287872933b7120d4b9bdd2d12df193943e48c6f26017a0a1150a1591,highest-temperature-in-hong-kong-on-may-10-2026-26c,Will the highest temperature in Hong Kong be 26°C on May 10?,26°C,"[""Yes"", ""No""]","[0.9985, 0.0015]","[""68574117907658170871155505283959284649116613188893004122029208467042706131781"", ""127127635085447858235190202329935907893817878056771018838793631092512282533""]",0.9985,0.0015,68574117907658170871155505283959284649116613188893004122029208467042706131781,127127635085447858235190202329935907893817878056771018838793631092512282533,0.998,0.999,0.001,73051.50314799993,34388.13587,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-hong-kong-on-may-10-2026,24.917631528643415,sklearn_hist_gradient_boosting_bias_corrector,25.5,26.5,celsius,0.144517,0.855483,0.999,0.002,5e-05,0.0001,-0.854533,0.853383,betting_v2_conservative,2.5,5,2,24°C,0.148325,0,1,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460666,highest-temperature-in-hong-kong-on-may-10-2026,Highest temperature in Hong Kong on May 10?,321174.78055699985,2186785,0x66878a4f8834c8bf2a12c90bea002b622845d7eead0396499d0d382c4c3675ba,highest-temperature-in-hong-kong-on-may-10-2026-24c,Will the highest temperature in Hong Kong be 24°C on May 10?,24°C,"[""Yes"", ""No""]","[0.0015, 0.9985]","[""41580445596780586623562968305558978220320575574345655399496597357840714706461"", ""5706736119755635223386951202143337483236161925044286532173845976769320282083""]",0.0015,0.9985,41580445596780586623562968305558978220320575574345655399496597357840714706461,5706736119755635223386951202143337483236161925044286532173845976769320282083,0.001,0.002,0.001,65153.33709000003,13911.98578,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-hong-kong-on-may-10-2026,24.917631528643415,sklearn_hist_gradient_boosting_bias_corrector,23.5,24.5,celsius,0.148325,0.851675,0.002,0.999,0.0001,5e-05,0.146225,-0.147375,betting_v2_conservative,2.5,5,1,24°C,0.148325,1,1,market already ended,model top bucket; ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460666,highest-temperature-in-hong-kong-on-may-10-2026,Highest temperature in Hong Kong on May 10?,321174.78055699985,2186788,0x440bff3b58cb6af2599d053a229bfc75eb98402d6476a7e6e9fbe8fd947502e0,highest-temperature-in-hong-kong-on-may-10-2026-27c,Will the highest temperature in Hong Kong be 27°C on May 10?,27°C,"[""Yes"", ""No""]","[0.001, 0.999]","[""111180398304424621426358029952301223844163522981769500950720230142250444424735"", ""6504292656150124591578832837052904813278602086094226434982189152098392429033""]",0.001,0.999,111180398304424621426358029952301223844163522981769500950720230142250444424735,6504292656150124591578832837052904813278602086094226434982189152098392429033,,0.002,0.002,45570.690549,11302.26189,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-hong-kong-on-may-10-2026,24.917631528643415,sklearn_hist_gradient_boosting_bias_corrector,26.5,27.5,celsius,0.11257,0.88743,0.002,0.999,0.0001,5e-05,0.11047,-0.11162,betting_v2_conservative,2.5,5,3,24°C,0.148325,0,1,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460666,highest-temperature-in-hong-kong-on-may-10-2026,Highest temperature in Hong Kong on May 10?,321174.78055699985,2186780,0xba734f939cac01a40af8176a3fc44b7ef8cd5afa74e476452007290986eef6a3,highest-temperature-in-hong-kong-on-may-10-2026-19corbelow,Will the highest temperature in Hong Kong be 19°C or below on May 10?,19°C or below,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""56369416832872712190090826124409577500003142925815221428008462374848109568482"", ""38812210507690510844770860114773499695643477490371408371715016909175874040514""]",0.0005,0.9995,56369416832872712190090826124409577500003142925815221428008462374848109568482,38812210507690510844770860114773499695643477490371408371715016909175874040514,,0.001,0.001,2988.224322,7747.4931,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-hong-kong-on-may-10-2026,24.917631528643415,sklearn_hist_gradient_boosting_bias_corrector,,19.5,celsius,0.015115,0.984885,0.001,0.9995,5e-05,2.5e-05,0.014065,-0.01464,betting_v2_conservative,2.5,5,5,24°C,0.148325,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
460666,highest-temperature-in-hong-kong-on-may-10-2026,Highest temperature in Hong Kong on May 10?,321174.78055699985,2186781,0xe1ff5e8b87b670f53bcc721488b03db433280ae872fcce32413d7c3ee8bac8a4,highest-temperature-in-hong-kong-on-may-10-2026-20c,Will the highest temperature in Hong Kong be 20°C on May 10?,20°C,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""112047286153050664215252932011721076035477192717048592577781353066314668276735"", ""96114895722861292010531856704288560858838727648172394573399107581988254256695""]",0.0005,0.9995,112047286153050664215252932011721076035477192717048592577781353066314668276735,96114895722861292010531856704288560858838727648172394573399107581988254256695,,0.001,0.001,1319.6755050000002,9509.90245,1,1,0,1,2026-05-10T12:00:00Z,highest-temperature-in-hong-kong-on-may-10-2026,24.917631528643415,sklearn_hist_gradient_boosting_bias_corrector,19.5,20.5,celsius,0.023494,0.976506,0.001,0.9995,5e-05,2.5e-05,0.022444,-0.023019,betting_v2_conservative,2.5,5,4,24°C,0.148325,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended,1,station verified
